_id,Project,Province,District,Municipality,Capacity (MW),River,Lic No,Isuue Date,Validity,Promoter,Address,Longitude,Latitude,License Type
487,Upper Chirkuwa Khola,Province 1,SANKHUWASABHA,Khandbari,4.7,Chirkhuwa,185,2073-11-11,2108-11-10,Chirkhuwa Hydropower Company Pvt td,"GPO Box: 19387 , Katmandu, phone no 4770297",87.09444444,27.36569444,Generation
488,Upper Daraudi B Small HPP,Province 4,GORKHA,Dharche,8.3,Daraudi,1002,2075-01-10,2077-01-09,Kalika Construction Pvt.Ltd.,"Kalika Tower, Baluwatar, Kathmandu 4439152,4439153",84.73541667,28.23666667,Survey
489,Upper Daraudi Hydropower Project,Province 4,GORKHA,Dharche,9.2,Daraudi,797,2073-12-21,2075-12-20,"Apaar Bhattarai, Sushila Parajuli Baral","Bhadrapur-11, Jhapa & Pokhara-04, Kaski respectively,9849685070",84.71041667,28.16583333,Survey
490,Upper Daraudi-C HPP,Province 4,GORKHA,Ajirkot,9.82,Daraudi,729,2073-03-24,2076-03-23,Kalika Construction Pvt Ltd,"Kalika Tower, Baluwatar, Kathmandu 4439152,4439153 Fax 4439155",84.72916667,28.26263889,Survey
491,Upper Deumai Khola Small HPP,Province 1,ILAM,Deumai,8.3,Deumai,823,2074-02-09,2076-02-08,Uddhav Raj Siwakoti,"Suspa Chhemavati 5, Dolakha, 9849848396, 9841618543",87.79305556,26.9375,Survey
492,Upper Dordi A HEP,Province 4,LAMJUNG,Dudhpokhari,25.0,Dordi,121,2071-01-15,2106-01-14,Liberty Energy Hydropower Pvt. Ltd.,"Thapathali-11, Kathmandu",84.50625,28.26111111,Generation
493,Upper Dudh Khola HPP,Province 4,MANANG,Nashong,21.16,Dudh Khola,850,2074-03-08,2076-03-07,Carbonless Energy Fund Pvt. Ltd.,"Charkhal road, Dillibazar, Ktm. 01-4432864, 01-4432863, info@everestequity.com.np",84.40680556,28.57319444,Survey
494,Upper Gaddi Gad,Province 7,DOTI,Khaptad National Park,1.55,Gaddi Gad,225,2074-11-30,2109-11-29,Shaileshwari Power Nepal,"Sukedhara, Kathmandu, Phone no 9851034375, email saileshwori.power.17@gmail.com",81.07013889,29.28388889,Generation
495,Upper Ghatte Khola Small HPP,Province 3,DOLAKHA,Gaurishankar,2.73,Ghatte,937,2074-07-23,2076-07-22,Dolakha Urja Pvt. Ltd,"kathmandu, 01-4785772, 9851023270 (Tek Prasad Chaulagai)",86.31208333,27.76597222,Survey
496,Upper Gidi Khola HEP,Province 6,JUMLA,Guthichaur,3.3,Gidi,1015,2075-02-23,2077-02-22,Himal Group of Energy Pvt. Ltd,"United World Trade Center, Tripureshwor, Kathmandu, 9851053161 Himal Gurung",82.15694444,29.17069444,Survey
497,Upper Hewa HPP,Province 1,TAPLEJUNG,Maiwakhola,8.5,Hewa Khola,133,2072-01-15,2107-01-14,Upper Hewa Khola Hydropower Company Pvt Ltd,"GPO Box: 14165, Kathmandu Tel: 4102757",87.36041667,27.33736111,Generation
498,Upper Hugdi,Province 5,GULMI,Satyawati,5.0,Hugdi,67,2069-04-30,2104-04-29,Ruru Jalbidyut Pariyojana Pvt. Ltd,"P.O. Box 8416, Samakhusi, Kathmandu-29, Nepal, Phone: 01-4389703, 4357563 Fax :01-4357563",83.40472222,28.09333333,Operation
500,Upper Inkhu Khola HEP,Province 1,SOLUKHUMBU,Dudhkoshi,24.22,Inkhu,954,2074-08-12,2076-08-11,Universal Power Company P. Ltd,"Bluestar Compllex Tripureshor, 01-4101097",86.78027778,27.585,Survey
501,Upper Irkhuwa HPP,Province 1,SANKHUWASABHA,Silichong,14.5,"Irkhuwa,Phedi",740,2073-06-09,2075-06-08,Aarati Power Company Ltd.,"Kathmandu-35,Kotesor. 9851221372",87.045,27.39375,Survey
502,Upper Isuwa,Province 1,SANKHUWASABHA,Makalu,24.3,Isuwa Khola,989,2074-12-12,2076-12-11,Bista Hydropower Pvt. Ltd.,"Tangal, Kathmandu, Phone no 4410160",87.1925,27.63625,Survey
504,Upper Junbesi HPP,Province 1,SOLUKHUMBU,Solududhakunda,3.7,Junbeshi,900,2074-05-27,2076-05-26,Gurkhas Himalayan Hydro Pvt. Ltd.,"Minbhawan, Kathmandu, Phone no 9851114505",86.54833333,27.59916667,Survey
505,Upper Kabeli HPP,Province 1,TAPLEJUNG,Sidingba,22.9,Kabeli Khola,728,2073-03-24,2076-03-23,Peace Energy Company Pvt. Ltd.,"Baluwatar, Bishalnagar-5 Kathmandu 4416285",87.85666667,27.33166667,Survey
506,Upper Kabeli-2HPP,Province 1,TAPLEJUNG,Sidingba,9.6,Kabeli Khola,794,2073-12-08,2075-12-07,Arun Valley Hydropower Project Com. Ltd.,"Thapathali, Kathmandu",87.84027778,27.29833333,Survey
507,Upper Kalangad,Province 7,BAJHANG,Bungal,38.46,Kalanga Gad,152,2072-12-14,2107-12-13,Sani Gad Hydro pvt. Ltd,"Sukedhara, Rara Marg, Kathmandu, Po. Box. No. 13607/21399, Phone no. 01-4101652, 01-4101653, Email: info.ukhep@gmail.com",80.91527778,29.60930556,Generation
508,Upper Karnali,Province 6,SURKHET,Barahtal,900.0,Karnali,328,2065-02-05,2069-08-04,"GMR, Upper Karnali Hydropower Limited",Chakupat Lalitpur - 10 Phone 01-5526464,81.50416667,28.83611111,Survey
510,Upper Khimti,Province 3,DOLAKHA,Jiri,12.0,Khimti Khola,77,2069-09-03,2104-09-02,Himalaya Urja Bikas Co. Pvt. Ltd.,"Balkot-2 Bhaktapur, Phone 016632822",86.34166667,27.6775,Generation
511,Upper Khimti II,Province 3,DOLAKHA,Jiri,7.0,Khimti Khola,131,2071-12-13,2106-12-12,Himalaya Urja Bikash Company Limited,G.P.O. Box: 10429 Ph: 4487794,86.31944444,27.65208333,Generation
512,Upper Khorunga HPP,Province 1,TERHATHUM,Phedap,7.5,Khoranga Khola,168,2073-05-08,2106-11-06,Terhathum Power Company Pvt. Ltd.,"Bagbajar, Kathmandu, Po. Box. No. 14130, Phone no 4240661",87.53194444,27.21152778,Generation
513,Upper Khudi,Province 4,LAMJUNG,Marsyangdi,26.0,Khudi,232,2075-02-09,2110-02-08,Super Khudi Hydropower Co.Pvt. Ltd.,"P.O.Box 19554, Kathmandu, Phone 01-4434003, 4424644",84.32722222,28.335,Generation
514,Upper Lapche Khola,Province 3,DOLAKHA,Bigu,52.0,Lapche,182,2073-10-21,2108-10-20,Energy Venture Pvt. Ltd.,"New Baneswor Kathmandu, GPO Box: 6870, Phone 9851025737, 4115573, 4115900",86.17069444,28.08263889,Generation
515,Upper Machha Khola HEP,Province 4,GORKHA,Dharche,4.55,Machha Khola,927,2074-07-12,2076-07-11,Bikash Hydropower Company Pvt. Ltd.,"Balaju-16, Kathmandu, 01-4380505, Bikash Kiran Adhikari 9851057917",84.81583333,28.21569444,Survey
516,upper Madame HPP,Province 4,MANANG,Neshyang,12.3,Madame Khola,968,2074-09-07,2076-09-06,National Hydropower Company Pvt. Ltd.,"Anamnagar, Kathmandu, Phone no 4771600",84.16680556,28.4375,Survey
517,Upper Madi,Province 4,KASKI,Madi,25.0,Madi Khola,35,2067-01-27,2102-01-26,"Madi Power Pvt Ltd.,","GPO Box 2581, Gorakha Complex Minbhawan, Phone 01-4106507, 4106729, 4106731, Fax 01-4106640",84.0875,28.27958333,Operation
518,Upper Madi 0,Province 4,KASKI,Madi,43.0,Madi,825,2074-02-09,2076-02-08,Annapurna Power Company Pvt. Ltd,"Sanepa, Lalitpur, 9851042066",84.10833333,28.39583333,Survey
519,Upper Mai -C,Province 1,ILAM,Maijogmai,6.1,Mai Khola,95,2070-03-21,2105-03-20,"Mai Valley Hydropower P.L.,","P.O.Box 24194, Phone 01-5010631, Lalitpur Kathmandu",87.96472222,27.01125,Operation
520,Upper Mai Hydropower Project (Panchakanya Mai Hydropwer limi,Province 1,ILAM,Sandakpur,12.0,Mai Khola,36,2067-04-23,2102-04-22,Mai Valley Hydropower P Ltd.,"Lalitpur - 3, Bakhundol , Pulchowk, Lalitpur, POB 24194, Ph 015010631,5010632",87.95416667,27.04055556,Operation
521,Upper Mailun Khola,Province 3,DHADING,Rubi Valley,14.3,Mailung Khola,79,2069-09-20,2106-11-26,Upper Mailung Khola Hydropower Limited.,"Baluwatar, Kathmandu, Nepal. Ph: 4436027, Fax: 4419703",85.2,28.11611111,Generation
522,Upper Mailung -A,Province 3,DHADING,Rubi Valley,6.42,Mailung Khola,56,2068-09-11,2103-09-10,Energy Engineering Pvt. Ltd,"PO Box 9292,Ph 4915225",85.20833333,28.18541667,Generation
523,Upper Mailung B Hydropower Project,Province 3,RASUWA,Parbati Kunda,7.5,Mailung Khola,752,2073-08-03,2075-08-02,Sanima Hydropower Ltd,"Narayanchaur, Naxal, GPO 19737, Kathamndu",85.2,28.14791667,Survey
524,Upper Maiwa HPP,Province 1,TAPLEJUNG,Meringden,15.5,Maiwa,912,2074-06-26,2076-06-25,Jaya Kumar Limbu,"Dharan, mob.no. 9852045950, 9812398039",87.535,27.38555556,Survey
525,Upper Mardi Hydropower Project,Province 4,KASKI,Machhapuchchhre,7.0,Mardi,181,2073-10-14,2108-05-31,United Idimardi and R.B. Hydropower Pvt Ltd,"Sanepa , Lalitpur Tel: 01-5520254, 52012027",83.88791667,28.38694444,Generation
526,Upper Marsyangdi A,Province 4,LAMJUNG,Dordi,50.0,Marsyangdi,60,2068-12-17,2103-12-16,Sinohydro-Sagarmatha Power Company Pvt Ltd,"Sanepa , Lalitpur",84.38402778,28.30486111,Operation
527,Upper Melamchi HEP,Province 3,SINDHUPALCHOK,Panchpokhari Thangpal,4.6,Melamchi,1014,2075-02-16,2077-02-15,Gugeshwori Energy Pvt. Ltd,"Bajramarga, Baudhha Kathmandu",85.53333333,28.03041667,Survey
528,Upper Mewa Khola -A HPP,Province 1,TAPLEJUNG,Phaktanglung,28.22,Mewa Khola,878,2074-04-20,2076-04-19,Surya Holding Company Pvt.Ltd.,"kathmandu-1, naxal, 9851024262 (Anil Joshi), 01-4002604,4435714",87.62625,27.52527778,Survey
529,Upper Midim Khola SHP,Province 4,LAMJUNG,Marsyangdi,7.5,Midim Khola,720,2073-02-20,2076-02-19,"Bhujung Hydro Power Pvt.Ltd.,","Kathmandu-34, Baneshowr, Kathmandu,4480564,9851026587",84.25472222,28.33208333,Survey
530,Upper Modi A,Province 4,KASKI,Machhapuchchhre,42.0,Modi Khola,135,2072-03-04,2107-03-03,Nepal Electricity Authority,"Durbarmarga, Kathmandu",83.80736111,28.3675,Generation
531,Upper Modi HPP cascade project,Province 4,KASKI,Annapurna,14.0,Modi Khola,226,2074-12-02,2109-12-01,Nepal Electricity Authority,Kathmandu,83.78486111,28.32736111,Generation
532,Upper Most Iwa Khola HEP,Province 1,PANCHTHAR,Yangwarak,2.5,Iwa,1004,2075-01-26,2077-01-25,Timbung Pokhari Hydro Pvt. Ltd,"9842058977, 9816325910",88.00555556,27.32708333,Survey
533,Upper Mudi HEP,Province 4,MYAGDI,Dhaulagiri,12.73,Mudi,896,2074-05-21,2076-05-20,Fresh Water Energy Pvt. Ltd.,Ka. Ma. Na. Pa-30,83.30652778,28.57083333,Survey
534,Upper Myagdi,Province 4,MYAGDI,Raghuganga,20.0,Myagdi Khola,119,2070-12-06,2105-12-05,Hydro Empire P Ltd,"Bafal Sundhara, Kathmandu, P.O.Box 9713",83.37638889,28.53777778,Generation
535,Upper Myagdi-I HEP,Province 4,MYAGDI,Raghuganga,80.0,Myagdi Khola,671,2070-08-13,2075-08-12,Upper Myagdi Hydropower Pvt. Ltd,Ka. Ma.Na.Pa-31,83.36527778,28.48888889,Survey
536,Upper Nar Hydropower Project,Province 4,MANANG,Narphu,31.77,Nar,956,2074-08-12,2076-08-11,Universal Power Company P. Ltd,"Bluestar Compllex Tripureshor, 01-4101097",84.23472222,28.65694444,Survey
537,Upper Naugad Gad Hydropower Project,Province 7,DARCHULA,Naugad,8.0,Naugad,177,2073-09-14,2108-09-14,Api Power Company Ltd.,"Trade Tower, Thapathali, Kathmandu. Phone: 015511033, 015111037, Fax: 015111035",80.63527778,29.73097222,Generation
538,Upper Nyasem A HEP,Province 3,SINDHUPALCHOK,Jugal,7.5,Nyasem Khola,886,2074-05-05,2076-05-04,Sindhu Jwala Hydropower Pvt. Ltd.,"Hanumansthan -32, Ktm. Kabita Shrestha 9851010735, 01-4245184",85.85138889,28.02541667,Survey
539,Upper Nyasim Khola,Province 3,SINDHUPALCHOK,Bhotekoshi,43.0,Nyasem Khola,176,2073-08-07,2108-08-06,Sindhujwala Hydropower P. Ltd,"Anamnagar, Kathmandu, Phone no. 4245184, 4238575, 9851010735, Email: sindhujwalahydropower@gmail.com",85.82777778,28.00555556,Generation
540,Upper Pikhuwa HPP,Province 1,BHOJPUR,Tyamkemaiyung,2.0,Pikhuwa,751,2073-08-02,2075-08-01,Sumnima Hydropower Company Pvt.Ltd.,"Hulaktole Marg ,Kathmandu-15, phone no 9851097087",86.99305556,27.23875,Survey
541,Upper Piluwa 3 HPP,Province 1,TAPLEJUNG,Maiwakhola,4.95,Piluwa Khola,942,2074-07-26,2076-07-25,Mabilung Energy Pvt.Ltd,"Kathmandu-34,Sachetanmarg New Baneshower, house no. 162,016922762,9843142092,9851150167,mabilungenergy@gmail.com",87.41416667,27.29805556,Survey
542,Upper Piluwa Khola-2 SHP,Province 1,SANKHUWASABHA,Panchakhapan,4.72,Piluwa Khola,149,2072-09-03,2107-09-02,"Menchhiyam Hydropower P Ltd. Itahari,Sunsari,9841521159","PO Box no 8975 EPC 1030 Kathmandu, Phone no 4008602, 9843142092",87.39708333,27.29736111,Generation
543,Upper Piluwa-1,Province 1,SANKHUWASABHA,Chainpur,8.51,Piluwa,903,2074-05-30,2076-05-29,Menchhiyam Hydropower P Ltd.,Lainchaur Kathmandu,87.36861111,27.29138889,Survey
544,Upper Puwa-1,Province 1,PANCHTHAR,Falelung,3.0,Puwa,90,2070-02-06,2105-02-05,Joshi Hydropower Co. P. Ltd,"Newbaneswor, KathmanduTel: 01-4115787",87.89166667,27.00513889,Operation
545,Upper Richet Khola SHP,Province 3,DHADING,Rubi Valley,2.0,Richet,692,2071-10-02,2075-10-01,Upper Richet Hydropower Pvt. Ltd.,"Lalitpur-1, Kupondole",84.93902778,28.19013889,Survey
546,Upper Rukum Gad HPP,Province 5,RUKUM_E,Putha Uttarganga,4.73,"Rukum Gad(Lukum,Thaban,Kuchiba",774,2073-08-27,2075-08-26,Gandaki Energy Limited,Tipureshor. Kathamndu,82.63875,28.58097222,Survey
547,Upper Sagu HPP,Province 3,SINDHUPALCHOK,Bhotekoshi,10.0,"Khartal,Kothali(Sagu)",710,2072-09-03,2075-09-02,Sanjay Shrestha,"Gongbu, Kathmandu",86.09944444,27.86416667,Survey
548,Upper Sanjen,Province 3,RASUWA,Gosaikunda,14.8,Sanjen,69,2069-05-07,2104-05-06,Sanjen Jalvidhyut Co,"Das Tower Lazimpat, Kathmandu, 01-4002049, Fax 4443077",85.28958333,28.22847222,Generation
549,Upper Sankhuwa Khola HEP,Province 1,SANKHUWASABHA,Silichong,24.0,Sankhuwa,1024,2075-03-26,2077-03-25,Happy Energy Pvt. Ltd,Kathmandu,87.04513889,27.54305556,Survey
550,Upper Sardi Hydropower Project,Province 4,KASKI,Madi,3.3,"Sardi, kutmi",810,2074-01-22,2076-01-21,Mandakini Hydropower Ltd,"316 Baburam Acharya Sadak, Sinamangal Kathamndu. Ph No. 4461574, email: mandakini.hydropower@gmail.com",84.02486111,28.36305556,Survey
551,Upper Seti Hydropower Project,Province 4,KASKI,Machhapuchchhre,20.0,Seti Khola,725,2073-03-10,2075-03-09,Upper Seti Hydro Pvt.Ltd.,"Anamnaga-32,Kathmandu, PO Box 12662,9851147724",83.99041667,28.42305556,Survey
552,Upper Seti-1 HEP,Province 4,KASKI,Machhapuchchhre,13.0,Seti Khola,831,2074-02-10,2076-02-09,Shrestha Energy Solution Pvt. Ltd,"Budanilkantha-4, Kathmandu,9851026329",83.94861111,28.29416667,Survey
553,Upper Siddhi khola HEP,Province 1,ILAM,Suryodaya,3.86,Siddhi Khola,750,2073-08-01,2075-07-30,Birta Power Pvt.Ltd.,"129/40212 Kathmandu-35,pepsi cola town planning.",88.12111111,26.85152778,Survey
554,Upper Simbuwa Khola HPP,Province 1,TAPLEJUNG,Phaktanglung,46.81,Simbuwa Khola,891,2074-05-16,2076-05-15,Simbuwa Hydropower Pvt.ltd.,"Durbar Marg, Kathmandu, Nepal",87.88680556,27.51138889,Survey
556,Upper Siwa Khola HPP,Province 1,TAPLEJUNG,Mikwakhola,8.18,Siwa Khola,879,2074-04-23,2076-04-22,BLAV Energy Pvt.Ltd.,"naxsal,kathmandu",87.57597222,27.51555556,Survey
557,Upper Solu Khola HPP,Province 1,SOLUKHUMBU,Solududhakunda,18.0,Solu Khola,169,2073-05-16,2106-11-16,Beni Hydropower Project,0,86.58138889,27.535,Generation
558,Upper Sunigad HEP,Province 7,BAJHANG,Talkot,8.42,Suni Gad,906,2074-06-01,2076-05-30,Omega EnergyDeveloper Pvt. Ltd,"Kathmandu-4, Chandol, 01-4436184",81.21875,29.68055556,Survey
559,Upper Suri Khola HPP,Province 3,DOLAKHA,Gaurishankar,7.0,"Hulak,Kolung",698,2071-11-11,2075-11-10,Makar Jitumaya Hudropower Pvt.Ltd.,"Kathmandu-11,Tripureswor,",86.26805556,27.73333333,Survey
560,Upper Syange Khola SHP,Province 4,LAMJUNG,Marsyangdi,2.4,Syange,197,2074-02-22,2109-02-21,Upper Syange Hydropower Pvt. Ltd.,"Samakhusi, Kathmandu, P. O. Box: 8975, Phone: 4357646, Fax: 4354186",84.38916667,28.38916667,Generation
561,Upper Tadi,Province 3,NUWAKOT,Langtang National Park,11.0,Tadi Khola,144,2072-06-22,2107-06-21,Surya Kund Hydro Electric Pvt. Ltd.,"Anam Nagar Kathmandu, Phone 01-4770245, 01-4771285 Fax 01-4771109",85.43347222,27.97152778,Generation
562,Upper Taksu Small HPP,Province 6,DOLPA,Mudkechula,4.87,thaksu,790,2073-11-24,2075-11-23,Myagdi Power Development Pvt.,"5th floor trade Tower , thapathali,kathmandu,9851033958,9841483385",82.44513889,28.91125,Survey
563,Upper Tamakoshi HPP,Province 3,DOLAKHA,Bigu,456.0,Tama Koshi,41,2067-08-17,2102-08-16,Upper Tamakoshi Hydropower Limited,"Kathmandu,GPO Box: 26070 , Tel: 4420295, Fax: 4412569",86.21666667,27.88055556,Generation
564,Upper Tamor,Province 1,TAPLEJUNG,Phaktanglung,285.0,Tamor,234,2075-02-27,2110-02-26,Tamor Sanima Energy P. Ltd,"P.O. Box: 19737, Ph: 4445952, Fax: 4425953",87.74763889,27.46722222,Generation
565,Upper Tamor A HPP,Province 1,TAPLEJUNG,Phaktanglung,72.0,Tamor,845,2074-02-26,2076-02-25,Union Hydropower Limited,Lalitpur 3 Dhobighat,87.77013889,27.68194444,Survey
566,Upper Tamor HEP,Province 1,TAPLEJUNG,Phaktanglung,32.5,Tamor,947,2074-08-01,2076-07-30,Upper Tmor Hydropower Pvt. Ltd.,"Durbarmarg Kathmandu, 01-4256459, 9851019871",87.79847222,27.56347222,Survey
567,Upper Trishuli 3A,Province 3,RASUWA,Kalika,60.0,Trishuli,43,2067-11-15,2102-11-14,Nepal Electricity Authority,"Durbar Marg , Kathmandu",85.19916667,28.04652778,Generation
568,Upper Trishuli 3B,Province 3,RASUWA,Uttargaya,37.0,Trishuli,104,2070-04-27,2105-04-26,Nepal Electricity Authority,0,85.185,28.00458333,Generation
569,Upper Trishuli-1,Province 3,RASUWA,Parbati Kunda,216.0,Trishuli,209,2074-07-23,2109-07-22,Nepal Water & Energy Development Co. P. Ltd,"Narayan Chaur, Naxal, Kathmandu P.O.Box: 786, Ph: 4412257, 4412229",85.25597222,28.10125,Generation
570,Upper Trishuli-I Cascade HEP,Province 3,RASUWA,Parbati Kunda,24.6,Trishuli Ganga,1006,2075-02-09,2077-02-08,Sahan Engineering Concern Pvt. Ltd,"Sunakothi, Lalitpur",85.20902778,28.0725,Survey
571,Uttarganga Storage Hydropower Project,Province 4,BAGLUNG,Nisikhola,828.0,Uttar Ganga,703,2072-03-29,2076-03-27,Nepal Electricity Authority,"Durbar Marg , Kathmandu, GPO Box: 10020",83.00944444,28.44763889,Survey
572,Yambaling Khola,Province 3,SINDHUPALCHOK,Jugal,7.271,Yambling,172,2073-06-09,2108-06-08,Yamling Hydropower Pvt Ltd,"8461, Battisputali , Kathmandu Tel: 98511140280,014215238, email: ymlhydro@gmail.com",85.81180556,27.94666667,Generation
